Ausgangsversion,Zu ersetzen durch,Sortierung wie,,,,
@!d,ð,d,,,,
@!p,Þ,th,,,,
@!w,þ,th,,,,
@&ae,æ,ae,"((muss vor @&a ersetzt werden, da sonst Zeichen übrig bleiben))",,,
@&a,æ,ae,((sofern kein e folgt!)),,,
@&e,ē,e,,,,
"@,c",ç,c,,,,
"@,e",ę,e,,,,
@^a,â,a,,,,
@^e,ê,e,,,,
@^i,î,i,,,,
@^o,ô,o,,,,
@^u,û,u,,,,
@`a,à,a,,,,
@`i,ì,i,,,,
@|ea,aͤ,ae,,,,
@|eo,oͤ,oe,,,,
@|eu,uͤ,ue,,,,
@|on,nᵒ,no,"""n"" in Kombination mit hochgestelltem ""o"": U+1D52",,,
@|oa,å,ao,,,,
@|ou,ů,uo,,,,
@|ui,ĭ,iu,,,,
@|uo,ŏ,ou,,,,
@|uu,ŭ,uu,,,,
@|vo,ǒ,ov,,,,
@'a,á,a,,,,
@-a,ā,a,,,,
@-b,ƀ,b,,,,
@-d,đ,d,,,,
@`e,è,e,,,,
@-e,ē,e,,,,
@`g,ġ,g,,,,
@-i,ī,i,,,,
@-n,ṅ,n,,,,
@`o,ò,o,,,,
@-o,ō,o,,,,
@`p,ṗ,p,,,,
@`r,ṙ,r,,,,
@`s,ṡ,s,,,,
@`t,ṫ,t,,,,
@`u,ù,u,,,,
@-u,ū,u,,,,
@`y,ỳ,y,,,,
@|ov,ů,uo,,,,
@^v,û,u,,,,
@|ve,ě,eu,,,,
@|oU,Ů,Uo,,,,
@|ua,ă,au,,,,
@`e,è,e,,,,
@`o,ò,o,,,,
@^v,û,u,,,,
@|ov,ů,uo,,,,
@|ec,cᵉ,ce,((c mit übergeschriebenen e?)),,,
@|vi,ǐ,iv,,,,
@|ve,ě,ev,,,,
@`p,ṗ,p,,,,
@`y,ỳ,y,,,,
@`u,ù,u,,,,
@|vu,ǔ,uv,,,,
@|au,uᷧ,ua,((u mit übergeschriebem a)),,,
@|oU,Ů,Uo,,,,
@`t,ť,t,,,,
@-t,ṯ,t,,,,
@^l,ł,l,,,,
"@,a",ą,a,,,,
@'e,é,e,,,,
@'i,í,i,,,,
@'o,ó,o,,,,
@'u,ú,u,,,,
