Gruppierung;Einzelbeleg ID;Belegform;Lemma ID;Lemma;Provenienz;Gewinner
;4461;;8653;[???];NeG;x
;4472;;8653;[???];NeG;
;8648;;8653;[???];NeG;
;8708;;8653;[???];NeG;
;8879;;8653;[???];NeG;
;35637;;8653;[???];NeG;
;35640;;8653;[???];NeG;
;37682;;8653;[???];NeG;
;70269;;8653;[???];NeG;
;82320;;8653;[???];NeG;
;82371;;8653;[???];NeG;
;82375;;8653;[???];NeG;
;97678;;8653;[???];NeG;
;100586;;8653;[???];NeG;
;106139;;8653;[???];NeG;
;106140;;8653;[???];NeG;
;106141;;8653;[???];NeG;
;231732;;16692;hrōth~[???];DMP;x
;301396;;16692;hrōth~[???];DMP;
[alberto];6320;[alberto];7379;alb~berht;NeG;x
[alberto];438177;[alberto];6609;ald~berht;DMP;
[h]adari[ho];6584;[h]adari[ho];13067;ath~rīk;NeG;
[h]adari[ho];319887;[h]adari[ho];8178;hath~rīk;DMP;x
[hitherii];34395;[Hitherii];6689;hid~hari;NeG;
[hitherii];34405;[Hitherii];6689;hid~hari;NeG;
[hitherii];34460;[Hitherii];6689;hid~hari;NeG;
[hitherii];34489;[Hitherii];6689;hid~hari;NeG;
[hitherii];34450;[Hitherii];9650;id~hari;NeG;x
[uuramhari];6946;[uuramhari];8242;warin~hari;NeG;
[uuramhari];475625;[uuramhari];7996;wurm~hari;DMP;x
abie;426217;abię;7409;ab;DMP;x
abie;426550;abie;12074;ab-n;DMP;
acledrisma;72481;Acledrisma;12413;agil-r-sm;NeG;
acledrisma;73666;Acledrisma;12413;agil-r-sm;NeG;
acledrisma;218221;acledrisma;18109;agil-s-m;DMP;x
acledrisma;219115;acledrisma;18109;agil-s-m;DMP;
aclemandus;71774;Aclemandus;11846;agil~man;NeG;x
aclemandus;123162;aclemandus;17100;agil~mand;DMP;
acleuolda;72034;Acleuolda;7100;agil~balth;NeG;
acleuolda;76643;Acleuolda;7100;agil~balth;NeG;
acleuolda;126821;acleuolda;7093;agil~wald;DMP;x
acleuolda;429897;acleuolda;7093;agil~wald;DMP;
aclisma;125334;aclisma;18109;agil-s-m;DMP;
aclisma;430265;aclisma;18109;agil-s-m;DMP;
aclisma;430321;aclisma;18109;agil-s-m;DMP;
aclisma;430322;aclisma;18109;agil-s-m;DMP;
aclisma;430323;aclisma;18109;agil-s-m;DMP;x
aclisma;430324;aclisma;18109;agil-s-m;DMP;
aclisma;72087;Aclisma;11350;agil-sm;NeG;
aclisma;72747;Aclisma;11350;agil-sm;NeG;
aclisma;74031;Aclisma;11350;agil-sm;NeG;
aclisma;75751;Aclisma;11350;agil-sm;NeG;
aclisma;77377;Aclisma;11350;agil-sm;NeG;
aclisma;78181;Aclisma;11350;agil-sm;NeG;
actenildis;78620;Actenildis;12104;aht~hildi;NeG;x
actenildis;223065;actenildis;21318;haithan~hildi;DMP;
actila;79257;Actila;13139;aht-l;NeG;x
actila;223584;actila;10562;haith-l;DMP;
adadramno;63066;adadramno;10300;ath~hraban;NeG;
adadramno;462139;adadramno;6907;athal~hraban;DMP;x
adafia;76273;Adafia;12199;alafia;NeG;x
adafia;221089;adafia;15900;ath~frith;DMP;
adalcardo;459714;adalcardo;10204;athal~gard;DMP;x
adalcardo;59747;adalcardo;6483;athal~hard;NeG;
adalcarius;122149;adalcarius;6573;athal~gair;DMP;
adalcarius;459455;adalcarius;6573;athal~gair;DMP;
adalcarius;459456;adalcarius;6573;athal~gair;DMP;
adalcarius;459457;adalcarius;6573;athal~gair;DMP;
adalcarius;459458;adalcarius;6573;athal~gair;DMP;x
adalcarius;72183;Adalcarius;6675;athal~hari;NeG;
adalcarius;72531;Adalcarius;6675;athal~hari;NeG;
adalcarius;72640;Adalcarius;6675;athal~hari;NeG;
adalcarius;73399;Adalcarius;6675;athal~hari;NeG;
adalcarius;73983;Adalcarius;6675;athal~hari;NeG;
adalchardo;459717;adalchardo;10204;athal~gard;DMP;x
adalchardo;459718;adalchardo;10204;athal~gard;DMP;
adalchardo;59507;Adalchardo;6483;athal~hard;NeG;
adalchardo;59924;Adalchardo;6483;athal~hard;NeG;
adalchardus;459719;adalchardus;10204;athal~gard;DMP;x
adalchardus;59503;Adalchardus;6483;athal~hard;NeG;
adalgart;40097;Adalgart;10204;athal~gard;NeG;x
adalgart;41172;Adalgart;10204;athal~gard;NeG;
adalgart;41803;Adalgart;10204;athal~gard;NeG;
adalgart;42932;Adalgart;10204;athal~gard;NeG;
adalgart;61833;adalgart;10204;athal~gard;NeG;
adalgart;118747;adalgart;10204;athal~gard;DMP;
adalgart;119950;adalgart;10204;athal~gard;DMP;
adalgart;125370;adalgart;10204;athal~gard;DMP;
adalgart;128120;adalgart;10204;athal~gard;DMP;
adalgart;128121;adalgart;10204;athal~gard;DMP;
adalgart;130559;adalgart;10204;athal~gard;DMP;
adalgart;132513;adalgart;10204;athal~gard;DMP;
adalgart;141205;adalgart;10204;athal~gard;DMP;
adalgart;141206;adalgart;10204;athal~gard;DMP;
adalgart;141207;adalgart;10204;athal~gard;DMP;
adalgart;141208;adalgart;10204;athal~gard;DMP;
adalgart;141210;adalgart;10204;athal~gard;DMP;
adalgart;141211;adalgart;10204;athal~gard;DMP;
adalgart;141212;adalgart;10204;athal~gard;DMP;
adalgart;141213;adalgart;10204;athal~gard;DMP;
adalgart;141214;adalgart;10204;athal~gard;DMP;
adalgart;141215;adalgart;10204;athal~gard;DMP;
adalgart;141216;adalgart;10204;athal~gard;DMP;
adalgart;141217;adalgart;10204;athal~gard;DMP;
adalgart;459734;adalgart;10204;athal~gard;DMP;
adalgart;459756;adalgart;10204;athal~gard;DMP;
adalgart;459791;adalgart;10204;athal~gard;DMP;
adalgart;459792;adalgart;10204;athal~gard;DMP;
adalgart;459793;adalgart;10204;athal~gard;DMP;
adalgart;459794;adalgart;10204;athal~gard;DMP;
adalgart;459795;adalgart;10204;athal~gard;DMP;
adalgart;459796;adalgart;10204;athal~gard;DMP;
adalgart;459797;adalgart;10204;athal~gard;DMP;
adalgart;459798;adalgart;10204;athal~gard;DMP;
adalgart;459799;adalgart;10204;athal~gard;DMP;
adalgart;459800;adalgart;10204;athal~gard;DMP;
adalgart;459801;adalgart;10204;athal~gard;DMP;
adalgart;459802;adalgart;10204;athal~gard;DMP;
adalgart;459803;adalgart;10204;athal~gard;DMP;
adalgart;459804;adalgart;10204;athal~gard;DMP;
adalgart;459805;adalgart;10204;athal~gard;DMP;
adalgart;459806;adalgart;10204;athal~gard;DMP;
adalgart;459807;adalgart;10204;athal~gard;DMP;
adalgart;459808;adalgart;10204;athal~gard;DMP;
adalgart;459809;adalgart;10204;athal~gard;DMP;
adalgart;459810;adalgart;10204;athal~gard;DMP;
adalgart;459811;adalgart;10204;athal~gard;DMP;
adalgart;459812;adalgart;10204;athal~gard;DMP;
adalgart;459813;adalgart;10204;athal~gard;DMP;
adalgart;459814;adalgart;10204;athal~gard;DMP;
adalgart;459815;adalgart;10204;athal~gard;DMP;
adalgart;459816;adalgart;10204;athal~gard;DMP;
adalgart;459817;adalgart;10204;athal~gard;DMP;
adalgart;459818;adalgart;10204;athal~gard;DMP;
adalgart;459819;adalgart;10204;athal~gard;DMP;
adalgart;459820;adalgart;10204;athal~gard;DMP;
adalgart;459821;adalgart;10204;athal~gard;DMP;
adalgart;459823;adalgart;10204;athal~gard;DMP;
adalgart;459824;adalgart;10204;athal~gard;DMP;
adalgart;459825;adalgart;10204;athal~gard;DMP;
adalgart;459826;adalgart;10204;athal~gard;DMP;
adalgart;459827;adalgart;10204;athal~gard;DMP;
adalgart;459828;adalgart;10204;athal~gard;DMP;
adalgart;459829;adalgart;10204;athal~gard;DMP;
adalgart;459830;adalgart;10204;athal~gard;DMP;
adalgart;459831;adalgart;10204;athal~gard;DMP;
adalgart;459860;adalgart;10204;athal~gard;DMP;
adalgart;459861;adalgart;10204;athal~gard;DMP;
adalgart;459862;adalgart;10204;athal~gard;DMP;
adalgart;459863;adalgart;10204;athal~gard;DMP;
adalgart;478012;adalgart;10204;athal~gard;DMP;
adalgart;480792;adalgart;10204;athal~gard;DMP;
adalgart;482061;adalgart;10204;athal~gard;DMP;
adalgart;483258;adalgart;10204;athal~gard;DMP;
adalgart;483974;adalgart;10204;athal~gard;DMP;
adalgart;484850;adalgart;10204;athal~gard;DMP;
adalgart;486130;adalgart;10204;athal~gard;DMP;
adalgart;489412;adalgart;10204;athal~gard;DMP;
adalgart;489888;adalgart;10204;athal~gard;DMP;
adalgart;490918;adalgart;10204;athal~gard;DMP;
adalgart;492987;adalgart;10204;athal~gard;DMP;
adalgart;493464;adalgart;10204;athal~gard;DMP;
adalgart;495366;ådalgart;11573;ōthal~gard;DMP;
adalgudem;459963;adalgudem;8298;athal~gaut;DMP;
adalgudem;77429;Adalgudem;9534;athal~gunth;NeG;x
adalgudis;117575;adalgudis;8298;athal~gaut;DMP;
adalgudis;117576;adalgudis;8298;athal~gaut;DMP;
adalgudis;117577;adalgudis;8298;athal~gaut;DMP;
adalgudis;117578;adalgudis;8298;athal~gaut;DMP;
adalgudis;117579;adalgudis;8298;athal~gaut;DMP;
adalgudis;117580;adalgudis;8298;athal~gaut;DMP;
adalgudis;117581;adalgudis;8298;athal~gaut;DMP;
adalgudis;117582;adalgudis;8298;athal~gaut;DMP;
adalgudis;117583;adalgudis;8298;athal~gaut;DMP;
adalgudis;117584;adalgudis;8298;athal~gaut;DMP;
adalgudis;117585;adalgudis;8298;athal~gaut;DMP;
adalgudis;117586;adalgudis;8298;athal~gaut;DMP;
adalgudis;117587;adalgudis;8298;athal~gaut;DMP;
adalgudis;117588;adalgudis;8298;athal~gaut;DMP;
adalgudis;117589;adalgudis;8298;athal~gaut;DMP;
adalgudis;117590;adalgudis;8298;athal~gaut;DMP;
adalgudis;117591;adalgudis;8298;athal~gaut;DMP;
adalgudis;117592;adalgudis;8298;athal~gaut;DMP;
adalgudis;117593;adalgudis;8298;athal~gaut;DMP;
adalgudis;117594;adalgudis;8298;athal~gaut;DMP;
adalgudis;33846;Adalgudis;9534;athal~gunth;NeG;x
adalgudis;68456;Adalgudis;9534;athal~gunth;NeG;
adalgudis;68690;Adalgudis;9534;athal~gunth;NeG;
adalgudis;71047;Adalgudis;9534;athal~gunth;NeG;
adalgudis;71203;Adalgudis;9534;athal~gunth;NeG;
adalgudis;71214;Adalgudis;9534;athal~gunth;NeG;
adalgudis;71888;Adalgudis;9534;athal~gunth;NeG;
adalgudis;71969;Adalgudis;9534;athal~gunth;NeG;
adalgudis;72521;Adalgudis;9534;athal~gunth;NeG;
adalgudis;72537;Adalgudis;9534;athal~gunth;NeG;
adalgudis;72694;Adalgudis;9534;athal~gunth;NeG;
adalgudis;72782;Adalgudis;9534;athal~gunth;NeG;
adalgudis;72887;Adalgudis;9534;athal~gunth;NeG;
adalgudis;73659;Adalgudis;9534;athal~gunth;NeG;
adalgudis;73790;Adalgudis;9534;athal~gunth;NeG;
adalgudis;75332;Adalgudis;9534;athal~gunth;NeG;
adalgudis;75813;Adalgudis;9534;athal~gunth;NeG;
adalgudis;77797;Adalgudis;9534;athal~gunth;NeG;
adalgudis;78199;Adalgudis;9534;athal~gunth;NeG;
adalgudis;78234;Adalgudis;9534;athal~gunth;NeG;
adalsis;464243;adalsis;18111;athal-s;DMP;
adalsis;464244;adalsis;18111;athal-s;DMP;
adalsis;76137;Adalsis;9653;athal~sinth;NeG;x
adalsis;77140;Adalsis;9653;athal~sinth;NeG;
adaluildis;74319;Adaluildis;8198;athal~hildi;NeG;
adaluildis;463745;adaluildis;23830;athal~wilth;DMP;x
adaluis;463467;adaluis;6629;athal~wīh;DMP;
adaluis;75810;Adaluis;12828;athal~wis;NeG;x
adaluuildis;72862;Adaluuildis;12467;athal-wild;NeG;
adaluuildis;463746;adaluuildis;23830;athal~wilth;DMP;x
adaluuis;463424;adaluuis;6629;athal~wīh;DMP;
adaluuis;463486;adaluuis;6629;athal~wīh;DMP;
adaluuis;77325;Adaluuis;12828;athal~wis;NeG;x
adaluuis;78196;Adaluuis;12828;athal~wis;NeG;
adamarus;117607;adamarus;9746;ath~mar;DMP;
adamarus;117608;adamarus;9746;ath~mar;DMP;
adamarus;117609;adamarus;9746;ath~mar;DMP;
adamarus;456503;adamarus;9746;ath~mar;DMP;x
adamarus;557;adamarus;6732;hath~mar;NeG;
adeario;702;adeario;6837;ath~hari;NeG;x
adeario;379349;adeario;19988;hath~hari;DMP;
adebertus;35594;Adebertus;15116;ath~berht;NeG;
adebertus;35596;Adebertus;15116;ath~berht;NeG;
adebertus;35662;Adebertus;15116;ath~berht;NeG;x
adebertus;35664;Adebertus;15116;ath~berht;NeG;
adebertus;144321;adebertus;6997;hath~berht;DMP;
adebertus;193294;adebertus;6997;hath~berht;DMP;
adebertus;193667;adebertus;6997;hath~berht;DMP;
adebertus;254451;adebertus;6997;hath~berht;DMP;
adebertus;258779;adebertus;6997;hath~berht;DMP;
adebertus;274190;adebertus;6997;hath~berht;DMP;x
adegarius;70947;Adegarius;6573;athal~gair;NeG;
adegarius;70950;Adegarius;6573;athal~gair;NeG;
adegarius;73416;Adegarius;6573;athal~gair;NeG;
adegarius;195091;adegarius;8333;hath~gair;DMP;
adegarius;216889;adegarius;8333;hath~gair;DMP;x
adegarius;216890;adegarius;8333;hath~gair;DMP;
adegarius;219003;adegarius;8333;hath~gair;DMP;
adegarius;375261;adegarius;8333;hath~gair;DMP;
adegis;76607;Adegis;7497;ath~gīs;NeG;
adegis;76633;Adegis;7497;ath~gīs;NeG;
adegis;121116;adegis;11402;hath~gīs;DMP;x
adegis;221446;adegis;11402;hath~gīs;DMP;
adelgudis;459987;adelgudis;8298;athal~gaut;DMP;
adelgudis;459988;adelgudis;8298;athal~gaut;DMP;
adelgudis;459989;adelgudis;8298;athal~gaut;DMP;
adelgudis;66534;Adelgudis;9534;athal~gunth;NeG;
adelgudis;67475;Adelgudis;9534;athal~gunth;NeG;x
adeliua;79214;Adeliua;10918;athal~leub;NeG;
adeliua;223595;adeliua;20496;hath~leub;DMP;x
adelius;77199;Adelius;7213;athal;NeG;x
adelius;464105;adelius;7527;athal-n;DMP;
adeuerta;78685;Adeuerta;15116;ath~berht;NeG;
adeuerta;223129;adeuerta;6997;hath~berht;DMP;x
adoarius;74198;Adoarius;6837;ath~hari;NeG;x
adoarius;219632;adoarius;19988;hath~hari;DMP;
adohardus;79551;Adohardus;11063;ath~hard;NeG;
adohardus;223792;adohardus;22434;hath~hard;DMP;x
adoharius;76771;Adoharius;6837;ath~hari;NeG;
adoharius;221565;adoharius;19988;hath~hari;DMP;x
adrama;456472;adrama;10300;ath~hraban;DMP;
adrama;456476;adrama;10300;ath~hraban;DMP;
adrama;72601;Adrama;12428;athar-m;NeG;x
adrama;73467;Adrama;12428;athar-m;NeG;
adraueus;74279;Adraueus;12657;athar~wīg;NeG;
adraueus;77322;Adraueus;12657;athar~wīg;NeG;
adraueus;464482;adraueus;20006;athar~wīh;DMP;x
adraueus;464483;adraueus;20006;athar~wīh;DMP;
adreueus;68906;Adreueus;11826;athar-wīh;NeG;
adreueus;76354;Adreueus;11826;athar-wīh;NeG;
adreueus;464484;adreueus;20006;athar~wīh;DMP;
adreueus;464485;adreueus;20006;athar~wīh;DMP;
adreueus;464486;adreueus;20006;athar~wīh;DMP;
aelis;41764;Aelis;7756;alis;NeG;x
aelis;464864;aelis;7213;athal;DMP;
aeti;88918;Aeti;8629;aetius;NeG;x
aeti;88944;Aeti;8629;aetius;NeG;
aeti;394742;aeti;6872;ath;DMP;
affuni;426808;affuni;25721;aff-n;DMP;x
