quelle_with_multiple_gattungen-2;;;;;
QuelleID;quelle_bezeichnung;anzahl_gattungen;gattungen_ids;gattungen_bezeichnungen;gattungen_NEU
5;Paulus Diaconus, Historia Langobardorum;2;-1,8;-,historiographisch;historiographisch
20;Ammianus Marcellinus, Res gestae;2;-1,8;-,historiographisch;historiographisch
32;Eugippius, Vita Severini;2;4,8;biographisch,historiographisch;hagiographisch
40;Annales Sancti Amandi;2;-1,2;-,Annalen;Annalen
41;Annales Tiliani;2;-1,2;-,Annalen;Annalen
44;Annales Guelferbytani;2;-1,2;-,Annalen;Annalen
47;Walahfrid Strabo, Vita Otmari;2;-1,4;-,biographisch;hagiographisch
66;Annales Monasterienses;2;-1,2;-,Annalen;Annalen
74;0775 Karl d.Gr. für Murbach;2;-1,1;-,Urkunde;Urkunde
84;Gallus Öhem, Cronick;2;-1,8;-,historiographisch;historiographisch
85;Series abbatum Saint-Avold;2;-1,8;-,historiographisch;historiographisch
98;0745 Chrodegang für Gorze (G);2;-1,1;-,Urkunde;Urkunde
99;0754 Chrodegang für Gorze (G);2;-1,1;-,Urkunde;Urkunde
100;0759 Radulfus und Agla für Gorze (G);2;-1,1;-,Urkunde;Urkunde
157;Papierkorb;7;-1,2,4,8,10,14,16;-,Annalen,biographisch,historiographisch,Urkunde,Verwaltungsschrifttum,hagiographisch;Annalen
323;0744 Moatbert für Freising;2;-1,1;-,Urkunde;Urkunde
709;0774 Karl der Große für St. Pilt$;2;-1,1;-,Urkunde;Urkunde
1137;0754 Eggioltus für Fulda#;2;-1,1;-,Urkunde;Urkunde
1565;0780-0802(c.) Uodiltag und Wentelsvint für Fulda#;2;-1,1;-,Urkunde;Urkunde
1600;Gregor von Tours, Libri Historiarum X;2;8,16;historiographisch,hagiographisch;historiographisch
1601;Additamentum Nivialense de Fuilano;2;8,16;historiographisch,hagiographisch;hagiographisch
1603;Adso Dervensis, Vita Frodoberti;2;8,16;historiographisch,hagiographisch;hagiographisch
1604;Aigradus, Vita Ansberti;2;8,16;historiographisch,hagiographisch;hagiographisch
1606;Alkuin, Vita Vedastis;2;8,16;historiographisch,hagiographisch;hagiographisch
1611;Ardo, Vita Benedicti;2;8,16;historiographisch,hagiographisch;hagiographisch
1616;Gregor von Tours, Liber in gloria confessorum;2;8,16;historiographisch,hagiographisch;hagiographisch
1617;Gregor von Tours, Liber in gloria martyrum;2;8,16;historiographisch,hagiographisch;hagiographisch
1618;Gregor von Tours, Virtutes Iuliani;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1619;Gregor von Tours, Virtutes Martini;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1620;Gregor von Tours, Liber vitae patrum;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1621;Jonas von Bobbio, Vita Columbani;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1622;Jonas von Bobbio, Vita Iohannis;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1623;Liudger, Vita Gregorii;2;8,16;historiographisch,hagiographisch;hagiographisch
1627;Passio Desiderii et Reginfridi;2;8,16;historiographisch,hagiographisch;hagiographisch
1629;Passio Leudegarii I;2;8,16;historiographisch,hagiographisch;hagiographisch
1630;Passio Praeiecti episcopi;2;8,16;historiographisch,hagiographisch;hagiographisch
1637;Ursinus von Ligugé, Passio Leudegarii II;2;8,16;historiographisch,hagiographisch;hagiographisch
1645;Vita Alcuini;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1649;Vita Anstrudis;2;8,16;historiographisch,hagiographisch;hagiographisch
1654;Vita Audomari;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1657;Vita Balthildis;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1662;Vita Boniti;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
1665;Vita Carileffi;2;8,16;historiographisch,hagiographisch;hagiographisch
1671;Gislemar, Vita Droctovei;2;8,16;historiographisch,hagiographisch;hagiographisch
1672;Audoenus von Rouen, Vita Eligii episcopi Noviomagensis;2;-1,16;-,hagiographisch;hagiographisch
1676;Vita Eucherii;2;-1,8;-,historiographisch;hagiographisch
1677;Vita Faronis;2;8,16;historiographisch,hagiographisch;hagiographisch
1679;Vita Filiberti;3;-1,8,16;-,historiographisch,hagiographisch;hagiographisch
