Pal. Abgrenzung;Nr. in Strukt;PN Text Belegform;Lemma;Titel Sigle;Seite;Sprachherkunft
1;1;…pman;finan;;1r;
1;2;Cucpald			;hug~balth;;1r;
1;3;Similda			;sig~hildi;;1r;
1;4;Uualto			;wald;;1r;
1;5;Ucpald			;hug~balth;;1r;
1;6;Garaca			;garaca;;1r;
1;7;Itta			;id;;1r;
1;8;Arno			;arin;;1r;
2;1;Regelenda		;ragin~linth;;1r;
3;1;Neostir			;neastru;;1r;slaw
3;2;Malamila		;māl~mīl;;1r;slaw
3;3;Iufinig;iuvenīx;;1r;
3;4;Gete			;gete;;1r;
4;1;Foskero					;fuscerus;sda;1r;
5;1;Fesselo			;fast-l;;1r;
5;2;Ceseri			;caesar;;1r;
5;3;Marcorus		;marcor;;1r;
6;1;Antelf			;and~wulf;;1r;
7;1;…hos;???;;1r;
7;2;Richmond				;rīk~mund;pbr;1r;
7;3;Ernoste					;ernust;pbr;1r;
7;4;Pabo;bab;;1r;
7;5;Richeri;rīk~hari;;1r;
7;6;Ingelscalh;angil~skalk;;1r;
8;1;Odelabega;ōthal~berg;;1r;
8;2;Aunegardi;aun~gard;;1r;
1;1;Toderiu;theud~hari;;1v;
2;1;Ringer ;rīn~gair;;1v;
2;2;Richini;rīk~wini;;1v;
3;1;Larant;laurentius;;1v;
3;2;Liuprat ;leub~rād;;1v;
3;3;Tingund ;thing~gunth;;1v;
4;1;Gaitepret;gaid~berht;;1v;
4;2;Gifarde;geb~ward;;1v;
4;3;Flodeberte;hlud~berht;;1v;
5;1;Habraham;abrahām;;1v;
5;2;Uuidrica ;vūdr-k;;1v;slaw
5;3;Bedasclauo;bud~slāv;;1v;slaw
5;4;Thesica;tēx-k;pbr;1v;
1;1;Auelpert ;aul~berht;[p…];2r;
1;2;Rotpert;hrōth~berht;;2r;
2;1;Cotafrit;god~frith;;2r;
2;2;Erissuint ;hari~swinth;;2r;
2;3;Roteperte;hrōth~berht;;2r;
2;4;Felix;fēlīx;dia;2r;
2;5;Iustus;iūstus;pbr;2r;
3;1;Amantinus;amantīnus;;2r;
3;2;Bona;bona;;2r;
4;1;Felicitas;fēlīcitās;;2r;
4;2;Pedernia;pēdernia;;2r;
5;1;Nepocor;nepakaru;;2r;   
5;2;Gresic;grēx-k ;;2r;slaw
5;3;Iohannes;iōhannēs;;2r;
6;1;Brasclauo;slāv-n-k;;2r;slaw
6;2;Zelesena;želēz-n;;2r;slaw
6;3;Hesla ;hesla;;2r;
6;4;Stregemil;slāv-n-k;;2r;slaw
6;5;Motico;mǫt-k;;2r;slaw
7;1;Trebenec;terb-n-c;;2r;slaw
7;2;Dracig;darg-k;;2r;slaw
7;3;Craniohi;xarni-x ;;2r;slaw
8;1;Millena;slāv-n-k;;2r;slaw
9;1;Zelebor;želī~bar;;2r;slaw
9;2;Andreas;andreās;;2r;
9;3;Uualtiher;wald~hari;;2r;
9;4;Tripina;slāv-n-k;;2r;slaw
9;5;Nosimer;nasī~mēr;;2r;slaw
10;1;Gelanus;gail-n;;2r;
10;2;Luta.isa ;hlud~wis;;2r;
10;3;Audeberte;aud~berht;;2r;
11;1;Petrus ;petrus;pbr;2r;
12;1;Henglerich;angil~rīk;;2r;
12;2;Odelrich;ōthal~rīk;;2r;
12;3;Theddat;theud~hath;;2r;
13;1;Arfret;hari~frith;;2r;
13;2;Martinus;martīnus;pbr;2r;
14;1;Foscari ;fuscarus;sda;2r;
14;2;Gaugiosus;gaudiōsus;;2r;
15;1;Reginbert;ragin~berht;;2r;
15;2;Otihi..;aud-k;;2r;
16;1;Gauselmus;gaut~helm;;2r;
16;2;Andreas ;andreās;;2r;
16;3;Grimalde;grim~wald       ;;2r;
17;1;Cleri;Name oder Weihegrad?;;2r;
18;1;Legembr[a] ;legembra;;2r;
18;2;[Ra]tram ;rād~hraban;;2r;
18;3;Ra..;???;;2r;
19;1;Engilinda ;angil~linth;;2r;
19;2;Pergildruda;berg~thruth;;2r;
20;1;Rotecause;hrōth~gaut;;2r;
20;2;Ro...perte ;hrōth~berht;;2r;
20;3;Roteperga;hrōth~berg;;2r;
21;1;Uuisirich;wis~rīk;;2r;
22;1;Hadamar;hath~mar;;2r;
22;2;Keio;gagi;;2r;
